code,Treatment,Bacteria,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Experiment,Sex
NA 1 A Precondition M,PreCondition,Acetobacter,A,7552.5,5962.5,13515,PreCondition,PreCondition,1,NA 1 A Precondition M,Precondition,M
NA 3 A Precondition M,PreCondition,Acetobacter,A,66780,2782.5,69562.5,PreCondition,PreCondition,3,NA 3 A Precondition M,Precondition,M
NA 5 A Precondition M,PreCondition,Acetobacter,A,5167.5,450,5617.5,PreCondition,PreCondition,5,NA 5 A Precondition M,Precondition,M
NA 7 A Precondition M,PreCondition,Acetobacter,A,5565,675,6240,PreCondition,PreCondition,7,NA 7 A Precondition M,Precondition,M
NA 9 A Precondition M,PreCondition,Acetobacter,A,825,125,950,PreCondition,PreCondition,9,NA 9 A Precondition M,Precondition,M
NA 11 A Precondition M,PreCondition,Acetobacter,A,20670,1590,22260,PreCondition,PreCondition,11,NA 11 A Precondition M,Precondition,M
NA 13 A Precondition M,PreCondition,Acetobacter,A,38160,1987.5,40147.5,PreCondition,PreCondition,13,NA 13 A Precondition M,Precondition,M
NA 15 A Precondition M,PreCondition,Acetobacter,A,47700,2385,50085,PreCondition,PreCondition,15,NA 15 A Precondition M,Precondition,M
NA 17 A Precondition M,PreCondition,Acetobacter,A,82680,5167.5,87847.5,PreCondition,PreCondition,17,NA 17 A Precondition M,Precondition,M
NA 19 A Precondition M,PreCondition,Acetobacter,A,4770,1987.5,6757.5,PreCondition,PreCondition,19,NA 19 A Precondition M,Precondition,M
NA 21 A Precondition F,PreCondition,Acetobacter,A,111300,1590,112890,PreCondition,PreCondition,21,NA 21 A Precondition F,Precondition,F
NA 23 A Precondition F,PreCondition,Acetobacter,A,143100,7552.5,150652.5,PreCondition,PreCondition,23,NA 23 A Precondition F,Precondition,F
NA 25 A Precondition F,PreCondition,Acetobacter,A,120840,5565,126405,PreCondition,PreCondition,25,NA 25 A Precondition F,Precondition,F
NA 27 A Precondition F,PreCondition,Acetobacter,A,305280,6360,311640,PreCondition,PreCondition,27,NA 27 A Precondition F,Precondition,F
NA 29 A Precondition F,PreCondition,Acetobacter,A,60420,1192.5,61612.5,PreCondition,PreCondition,29,NA 29 A Precondition F,Precondition,F
NA 31 A Precondition F,PreCondition,Acetobacter,A,152640,1987.5,154627.5,PreCondition,PreCondition,31,NA 31 A Precondition F,Precondition,F
NA 33 A Precondition F,PreCondition,Acetobacter,A,432480,22260,454740,PreCondition,PreCondition,33,NA 33 A Precondition F,Precondition,F
NA 35 A Precondition F,PreCondition,Acetobacter,A,168540,2385,170925,PreCondition,PreCondition,35,NA 35 A Precondition F,Precondition,F
NA 37 A Precondition F,PreCondition,Acetobacter,A,305280,25440,330720,PreCondition,PreCondition,37,NA 37 A Precondition F,Precondition,F
NA 39 A Precondition F,PreCondition,Acetobacter,A,305280,4770,310050,PreCondition,PreCondition,39,NA 39 A Precondition F,Precondition,F
Choice 41 A Post-Treatment M,Choice,Acetobacter,A,108120,7552.5,115672.5,Choice,Choice,41,Choice 41 A Post-Treatment M,Post-Treatment,M
Choice 43 A Post-Treatment M,Choice,Acetobacter,A,712320,9142.5,721462.5,Choice,Choice,43,Choice 43 A Post-Treatment M,Post-Treatment,M
Choice 45 A Post-Treatment M,Choice,Acetobacter,A,686880,4372.5,691252.5,Choice,Choice,45,Choice 45 A Post-Treatment M,Post-Treatment,M
Choice 47 A Post-Treatment M,Choice,Acetobacter,A,686880,5565,692445,Choice,Choice,47,Choice 47 A Post-Treatment M,Post-Treatment,M
Choice 49 A Post-Treatment F,Choice,Acetobacter,A,890400,25440,915840,Choice,Choice,49,Choice 49 A Post-Treatment F,Post-Treatment,F
Choice 51 A Post-Treatment F,Choice,Acetobacter,A,1093920,7155,1101075,Choice,Choice,51,Choice 51 A Post-Treatment F,Post-Treatment,F
Choice 53 A Post-Treatment F,Choice,Acetobacter,A,1170240,7950,1178190,Choice,Choice,53,Choice 53 A Post-Treatment F,Post-Treatment,F
Choice 55 A Post-Treatment F,Choice,Acetobacter,A,1017600,6360,1023960,Choice,Choice,55,Choice 55 A Post-Treatment F,Post-Treatment,F
Choice 57 A Post-Treatment M,Choice,Acetobacter,A,76320,8745,85065,Choice,Choice,57,Choice 57 A Post-Treatment M,Post-Treatment,M
Choice 59 A Post-Treatment M,Choice,Acetobacter,A,178080,5962.5,184042.5,Choice,Choice,59,Choice 59 A Post-Treatment M,Post-Treatment,M
Choice 61 A Post-Treatment M,Choice,Acetobacter,A,44520,3577.5,48097.5,Choice,Choice,61,Choice 61 A Post-Treatment M,Post-Treatment,M
Choice 63 A Post-Treatment M,Choice,Acetobacter,A,108120,1987.5,110107.5,Choice,Choice,63,Choice 63 A Post-Treatment M,Post-Treatment,M
Choice 65 A Post-Treatment F,Choice,Acetobacter,A,585120,5962.5,591082.5,Choice,Choice,65,Choice 65 A Post-Treatment F,Post-Treatment,F
Choice 67 A Post-Treatment F,Choice,Acetobacter,A,63600,6757.5,70357.5,Choice,Choice,67,Choice 67 A Post-Treatment F,Post-Treatment,F
Choice 69 A Post-Treatment F,Choice,Acetobacter,A,890400,12720,903120,Choice,Choice,69,Choice 69 A Post-Treatment F,Post-Treatment,F
Choice 71 A Post-Treatment F,Choice,Acetobacter,A,966720,4372.5,971092.5,Choice,Choice,71,Choice 71 A Post-Treatment F,Post-Treatment,F
Choice 73 A Post-Treatment M,Choice,Acetobacter,A,50880,4372.5,55252.5,Choice,Choice,73,Choice 73 A Post-Treatment M,Post-Treatment,M
Choice 75 A Post-Treatment M,Choice,Acetobacter,A,203520,22260,225780,Choice,Choice,75,Choice 75 A Post-Treatment M,Post-Treatment,M
Choice 77 A Post-Treatment M,Choice,Acetobacter,A,89040,8347.5,97387.5,Choice,Choice,77,Choice 77 A Post-Treatment M,Post-Treatment,M
Choice 79 A Post-Treatment M,Choice,Acetobacter,A,31800,4372.5,36172.5,Choice,Choice,79,Choice 79 A Post-Treatment M,Post-Treatment,M
Choice 81 A Post-Treatment F,Choice,Acetobacter,A,98580,7155,105735,Choice,Choice,81,Choice 81 A Post-Treatment F,Post-Treatment,F
Choice 83 A Post-Treatment F,Choice,Acetobacter,A,1322880,38160,1361040,Choice,Choice,83,Choice 83 A Post-Treatment F,Post-Treatment,F
Choice 85 A Post-Treatment F,Choice,Acetobacter,A,457920,4770,462690,Choice,Choice,85,Choice 85 A Post-Treatment F,Post-Treatment,F
Choice 87 A Post-Treatment F,Choice,Acetobacter,A,1195680,5565,1201245,Choice,Choice,87,Choice 87 A Post-Treatment F,Post-Treatment,F
Control 89 A Post-Treatment M,Control,Acetobacter,A,381600,1590,383190,Control,Control,89,Control 89 A Post-Treatment M,Post-Treatment,M
Control 91 A Post-Treatment M,Control,Acetobacter,A,38160,3180,41340,Control,Control,91,Control 91 A Post-Treatment M,Post-Treatment,M
Control 93 A Post-Treatment M,Control,Acetobacter,A,279840,825,280665,Control,Control,93,Control 93 A Post-Treatment M,Post-Treatment,M
Control 95 A Post-Treatment M,Control,Acetobacter,A,22260,4770,27030,Control,Control,95,Control 95 A Post-Treatment M,Post-Treatment,M
Control 97 A Post-Treatment F,Control,Acetobacter,A,686880,4770,691650,Control,Control,97,Control 97 A Post-Treatment F,Post-Treatment,F
Control 99 A Post-Treatment F,Control,Acetobacter,A,79500,1590,81090,Control,Control,99,Control 99 A Post-Treatment F,Post-Treatment,F
Control 101 A Post-Treatment F,Control,Acetobacter,A,330720,5565,336285,Control,Control,101,Control 101 A Post-Treatment F,Post-Treatment,F
Control 103 A Post-Treatment M,Control,Acetobacter,A,559680,19080,578760,Control,Control,103,Control 103 A Post-Treatment M,Post-Treatment,M
Control 105 A Post-Treatment M,Control,Acetobacter,A,814080,2782.5,816862.5,Control,Control,105,Control 105 A Post-Treatment M,Post-Treatment,M
Control 109 A Post-Treatment F,Control,Acetobacter,A,104940,397.5,105337.5,Control,Control,109,Control 109 A Post-Treatment F,Post-Treatment,F
Control 111 A Post-Treatment F,Control,Acetobacter,A,28620,1987.5,30607.5,Control,Control,111,Control 111 A Post-Treatment F,Post-Treatment,F
Control 113 A Post-Treatment F,Control,Acetobacter,A,57240,397.5,57637.5,Control,Control,113,Control 113 A Post-Treatment F,Post-Treatment,F
Control 115 A Post-Treatment F,Control,Acetobacter,A,534240,2385,536625,Control,Control,115,Control 115 A Post-Treatment F,Post-Treatment,F
Control 117 A Post-Treatment M,Control,Acetobacter,A,483360,2385,485745,Control,Control,117,Control 117 A Post-Treatment M,Post-Treatment,M
Control 119 A Post-Treatment M,Control,Acetobacter,A,178080,750,178830,Control,Control,119,Control 119 A Post-Treatment M,Post-Treatment,M
Control 125 A Post-Treatment F,Control,Acetobacter,A,12720,4770,17490,Control,Control,125,Control 125 A Post-Treatment F,Post-Treatment,F
Control 127 A Post-Treatment F,Control,Acetobacter,A,712320,550,712870,Control,Control,127,Control 127 A Post-Treatment F,Post-Treatment,F