,Treatment,exp,LABconc,Bacteria,Plate,bottlegroup,cfuA,cfuL,newbottle
1,Choice,A,50x,Acetobacter,1,ChoiceAcetobacter50xA1,2984960,233.3333333,ChoiceA50xAcetobacter1ChoiceAcetobacter50xA1
2,Choice,A,50x,Acetobacter,2,ChoiceAcetobacter50xA2,1424640,75,ChoiceA50xAcetobacter2ChoiceAcetobacter50xA2
3,Choice,A,50x,Acetobacter,3,ChoiceAcetobacter50xA3,542720,116.6666667,ChoiceA50xAcetobacter3ChoiceAcetobacter50xA3
4,Choice,A,50x,Acetobacter,4,ChoiceAcetobacter50xA4,6173440,158.3333333,ChoiceA50xAcetobacter4ChoiceAcetobacter50xA4
5,Choice,A,50x,Acetobacter,5,ChoiceAcetobacter50xA5,1356800,41.66666667,ChoiceA50xAcetobacter5ChoiceAcetobacter50xA5
6,Choice,A,50x,Acetobacter,6,ChoiceAcetobacter50xA6,1221120,283.3333333,ChoiceA50xAcetobacter6ChoiceAcetobacter50xA6
7,Choice,A,50x,Acetobacter,7,ChoiceAcetobacter50xA7,1831680,814130,ChoiceA50xAcetobacter7ChoiceAcetobacter50xA7
8,Choice,A,50x,Acetobacter,8,ChoiceAcetobacter50xA8,1763840,66.66666667,ChoiceA50xAcetobacter8ChoiceAcetobacter50xA8
9,Choice,A,50x,Acetobacter,9,ChoiceAcetobacter50xA9,1153280,146321.6667,ChoiceA50xAcetobacter9ChoiceAcetobacter50xA9
10,Choice,A,50x,Acetobacter,10,ChoiceAcetobacter50xA10,1153280,203590.8333,ChoiceA50xAcetobacter10ChoiceAcetobacter50xA10
11,Choice,B,1x,Acetobacter,1,ChoiceAcetobacter1xB1,26593280,925,ChoiceB1xAcetobacter1ChoiceAcetobacter1xB1
12,Choice,B,1x,Acetobacter,2,ChoiceAcetobacter1xB2,7326720,5800,ChoiceB1xAcetobacter2ChoiceAcetobacter1xB2
13,Choice,B,1x,Acetobacter,3,ChoiceAcetobacter1xB3,23879680,7695,ChoiceB1xAcetobacter3ChoiceAcetobacter1xB3
14,Choice,B,1x,Acetobacter,4,ChoiceAcetobacter1xB4,39618560,6701.666667,ChoiceB1xAcetobacter4ChoiceAcetobacter1xB4
15,Choice,B,1x,Acetobacter,5,ChoiceAcetobacter1xB5,42332160,11943.33333,ChoiceB1xAcetobacter5ChoiceAcetobacter1xB5
16,Choice,B,1x,Acetobacter,6,ChoiceAcetobacter1xB6,16620800,508.3333333,ChoiceB1xAcetobacter6ChoiceAcetobacter1xB6
17,Choice,B,1x,Acetobacter,7,ChoiceAcetobacter1xB7,33648640,15148.33333,ChoiceB1xAcetobacter7ChoiceAcetobacter1xB7
18,Choice,B,1x,Acetobacter,9,ChoiceAcetobacter1xB9,17808000,483.3333333,ChoiceB1xAcetobacter9ChoiceAcetobacter1xB9
19,Choice,B,1x,Acetobacter,10,ChoiceAcetobacter1xB10,14653440,25615,ChoiceB1xAcetobacter10ChoiceAcetobacter1xB10
20,Choice,C,1x,Acetobacter,1,ChoiceAcetobacter1xC1,18995200,341.6666667,ChoiceC1xAcetobacter1ChoiceAcetobacter1xC1
21,Choice,C,1x,Acetobacter,2,ChoiceAcetobacter1xC2,25507840,19080,ChoiceC1xAcetobacter2ChoiceAcetobacter1xC2
22,Choice,C,1x,Acetobacter,3,ChoiceAcetobacter1xC3,17367040,23850,ChoiceC1xAcetobacter3ChoiceAcetobacter1xC3
23,Choice,C,1x,Acetobacter,4,ChoiceAcetobacter1xC4,20555520,1241.666667,ChoiceC1xAcetobacter4ChoiceAcetobacter1xC4
24,Choice,C,1x,Acetobacter,5,ChoiceAcetobacter1xC5,23879680,950,ChoiceC1xAcetobacter5ChoiceAcetobacter1xC5
25,Choice,C,50x,Acetobacter,1,ChoiceAcetobacter50xC1,11397120,111300,ChoiceC50xAcetobacter1ChoiceAcetobacter50xC1
26,Choice,C,50x,Acetobacter,2,ChoiceAcetobacter50xC2,29849600,575580,ChoiceC50xAcetobacter2ChoiceAcetobacter50xC2
27,Choice,C,50x,Acetobacter,3,ChoiceAcetobacter50xC3,33105920,96460,ChoiceC50xAcetobacter3ChoiceAcetobacter50xC3
28,Choice,C,50x,Acetobacter,4,ChoiceAcetobacter50xC4,22794240,101760,ChoiceC50xAcetobacter4ChoiceAcetobacter50xC4
29,Choice,C,50x,Acetobacter,5,ChoiceAcetobacter50xC5,27136000,783340,ChoiceC50xAcetobacter5ChoiceAcetobacter50xC5
30,Choice,D,1x,Acetobacter,2,ChoiceAcetobacter1xD2,6784000,11133.33333,ChoiceD1xAcetobacter2ChoiceAcetobacter1xD2
31,Choice,D,1x,Acetobacter,3,ChoiceAcetobacter1xD3,17163520,7786.666667,ChoiceD1xAcetobacter3ChoiceAcetobacter1xD3
32,Choice,D,1x,Acetobacter,4,ChoiceAcetobacter1xD4,18995200,733.3333333,ChoiceD1xAcetobacter4ChoiceAcetobacter1xD4
33,Choice,D,1x,Acetobacter,5,ChoiceAcetobacter1xD5,22251520,475,ChoiceD1xAcetobacter5ChoiceAcetobacter1xD5
34,Choice,D,50x,Acetobacter,1,ChoiceAcetobacter50xD1,40161280,2310800,ChoiceD50xAcetobacter1ChoiceAcetobacter50xD1
35,Choice,D,50x,Acetobacter,2,ChoiceAcetobacter50xD2,20487680,2985276.667,ChoiceD50xAcetobacter2ChoiceAcetobacter50xD2
36,Choice,D,50x,Acetobacter,3,ChoiceAcetobacter50xD3,24965120,704056.6667,ChoiceD50xAcetobacter3ChoiceAcetobacter50xD3
37,Choice,D,50x,Acetobacter,4,ChoiceAcetobacter50xD4,21166080,746723.3333,ChoiceD50xAcetobacter4ChoiceAcetobacter50xD4
38,Choice,D,50x,Acetobacter,5,ChoiceAcetobacter50xD5,13025280,1308098.333,ChoiceD50xAcetobacter5ChoiceAcetobacter50xD5
39,Control,A,50x,Acetobacter,1,ControlAcetobacter50xA1,2069120,29.16666667,ControlA50xAcetobacter1ControlAcetobacter50xA1
40,Control,A,50x,Acetobacter,2,ControlAcetobacter50xA2,2103040,29.16666667,ControlA50xAcetobacter2ControlAcetobacter50xA2
41,Control,A,50x,Acetobacter,3,ControlAcetobacter50xA3,3086720,0,ControlA50xAcetobacter3ControlAcetobacter50xA3
42,Control,A,50x,Acetobacter,4,ControlAcetobacter50xA4,1458560,0,ControlA50xAcetobacter4ControlAcetobacter50xA4
43,Control,A,50x,Acetobacter,5,ControlAcetobacter50xA5,2244020,4.166666667,ControlA50xAcetobacter5ControlAcetobacter50xA5
44,Control,A,50x,Acetobacter,6,ControlAcetobacter50xA6,2611840,4.166666667,ControlA50xAcetobacter6ControlAcetobacter50xA6
45,Control,A,50x,Acetobacter,7,ControlAcetobacter50xA7,2175120,25,ControlA50xAcetobacter7ControlAcetobacter50xA7
46,Control,A,50x,Acetobacter,8,ControlAcetobacter50xA8,2413090,4.166666667,ControlA50xAcetobacter8ControlAcetobacter50xA8
47,Control,A,50x,Acetobacter,9,ControlAcetobacter50xA9,826270,25,ControlA50xAcetobacter9ControlAcetobacter50xA9
48,Control,A,50x,Acetobacter,10,ControlAcetobacter50xA10,3832960,16.66666667,ControlA50xAcetobacter10ControlAcetobacter50xA10
49,Control,C,1x,Acetobacter,6,ControlAcetobacter1xC6,16552960,0,ControlC1xAcetobacter6ControlAcetobacter1xC6
50,Control,C,1x,Acetobacter,7,ControlAcetobacter1xC7,14551680,0,ControlC1xAcetobacter7ControlAcetobacter1xC7
51,Control,C,1x,Acetobacter,8,ControlAcetobacter1xC8,13975040,0,ControlC1xAcetobacter8ControlAcetobacter1xC8
52,Control,C,1x,Acetobacter,9,ControlAcetobacter1xC9,15365760,0,ControlC1xAcetobacter9ControlAcetobacter1xC9
53,Control,C,1x,Acetobacter,10,ControlAcetobacter1xC10,16145920,29.16666667,ControlC1xAcetobacter10ControlAcetobacter1xC10
54,Control,C,50x,Acetobacter,6,ControlAcetobacter50xC6,27136000,4.166666667,ControlC50xAcetobacter6ControlAcetobacter50xC6
55,Control,D,1x,Acetobacter,6,ControlAcetobacter1xD6,9531520,6605.833333,ControlD1xAcetobacter6ControlAcetobacter1xD6
56,Control,D,1x,Acetobacter,7,ControlAcetobacter1xD7,10752640,1355.833333,ControlD1xAcetobacter7ControlAcetobacter1xD7
57,Control,D,1x,Acetobacter,8,ControlAcetobacter1xD8,6750080,12419.16667,ControlD1xAcetobacter8ControlAcetobacter1xD8
58,Control,D,1x,Acetobacter,9,ControlAcetobacter1xD9,13635840,3330,ControlD1xAcetobacter9ControlAcetobacter1xD9
59,Control,D,1x,Acetobacter,10,ControlAcetobacter1xD10,14083584,285,ControlD1xAcetobacter10ControlAcetobacter1xD10
60,Control,D,50x,Acetobacter,6,ControlAcetobacter50xD6,14619520,620100,ControlD50xAcetobacter6ControlAcetobacter50xD6
61,Control,D,50x,Acetobacter,7,ControlAcetobacter50xD7,2443830,175430,ControlD50xAcetobacter7ControlAcetobacter50xD7
62,Control,D,50x,Acetobacter,8,ControlAcetobacter50xD8,6071680,799240,ControlD50xAcetobacter8ControlAcetobacter50xD8
63,Control,D,50x,Acetobacter,9,ControlAcetobacter50xD9,19537920,1433120,ControlD50xAcetobacter9ControlAcetobacter50xD9
64,Control,D,50x,Acetobacter,10,ControlAcetobacter50xD10,27950080,1468100,ControlD50xAcetobacter10ControlAcetobacter50xD10